"codigo_ibge","categoria","cod_cnae","ano_atividade","cod_uf","ativas","mei"
"3106200","5","5611204","2018-01-01","31","2971","0"
"4314902","5","5611201","2018-01-01","43","278","1"
"5107206","5","5611201","2018-01-01","51","4","0"
"1721000","5","5611201","2020-03-01","17","313","1"
"2211001","5","5611201","2020-03-01","22","1473","0"
"2606200","5","5611203","2020-03-01","26","95","1"
"2800308","5","5611203","2020-03-01","28","1010","0"
"3550308","5","5611204","2020-03-01","35","4342","1"
"1302603","5","5611203","2017-10-01","13","2623","0"
"1600303","5","5611201","2017-10-01","16","186","1"
"3550308","5","5611201","2021-01-01","35","24642","0"
"2211001","5","5611203","2021-02-01","22","847","1"
"2304400","5","5611201","2021-02-01","23","3406","1"
"2304400","5","5611203","2021-02-01","23","4337","1"
"5002704","5","5611204","2020-08-01","50","256","0"
"5103403","5","5611205","2020-08-01","51","34","0"
"1302603","5","5611201","2020-09-01","13","2361","1"
"1721000","5","5611205","2020-09-01","17","70","1"
"2408102","5","5611203","2020-09-01","24","1347","0"
"5107206","5","5611201","2020-06-01","51","2","1"
"1721000","5","5611204","2020-07-01","17","256","1"
"2408102","5","5611204","2020-07-01","24","260","1"
"2800308","5","5611203","2020-07-01","28","1032","0"
"2800308","5","5611204","2020-07-01","28","146","1"
"3205309","5","5611201","2020-07-01","32","304","1"
"4314902","5","5611205","2019-05-01","43","30","0"
"4314902","5","5611205","2019-05-01","43","17","1"
"2927408","5","5611205","2017-03-01","29","41","1"
"3304557","5","5611201","2017-03-01","33","10477","0"
"4205407","5","5611204","2017-03-01","42","638","0"
"4314902","5","5611201","2017-03-01","43","205","1"
"2211001","5","5611201","2022-03-01","22","1356","1"
"2704302","5","5611201","2022-03-01","27","1807","1"
"3106200","5","5611205","2022-03-01","31","800","1"
"2704302","5","5611204","2019-03-01","27","257","1"
"5002704","5","5611201","2019-03-01","50","1581","0"
"5002704","5","5611203","2019-03-01","50","1283","0"
"5300108","5","5611203","2019-03-01","53","3189","1"
"1100205","5","5611201","2019-04-01","11","273","1"
"2211001","5","5611205","2019-04-01","22","6","0"
"2408102","5","5611205","2019-04-01","24","14","0"
"3550308","5","5611203","2022-10-01","35","37704","0"
"2111300","5","5611205","2022-10-01","21","95","0"
"3205309","5","5611201","2022-10-01","32","530","1"
"3304557","5","5611201","2022-10-01","33","11014","0"
"2700805","5","5611201","2022-09-01","27","2","1"
"1100205","5","5611205","2022-10-01","11","119","1"
"1302603","5","5611203","2022-10-01","13","3818","1"
"1721000","5","5611205","2022-10-01","17","153","1"
"1100205","5","5611201","2017-01-01","11","147","1"
"1100205","5","5611204","2017-01-01","11","261","0"
"1600303","5","5611204","2017-01-01","16","137","1"
"1721000","5","5611201","2017-01-01","17","706","0"
"2611606","5","5611203","2017-01-01","26","3818","0"
"2927408","5","5611205","2017-01-01","29","40","1"
"4314902","5","5611203","2017-01-01","43","479","1"
"5300108","5","5611201","2017-01-01","53","7609","0"
"3304557","5","5611203","2022-06-01","33","15522","1"
"2408102","5","5611205","2022-07-01","24","47","0"
"2507507","5","5611201","2022-07-01","25","1573","1"
"1721000","5","5611205","2017-08-01","17","4","0"
"2211001","5","5611205","2017-08-01","22","12","1"
"2304400","5","5611201","2017-08-01","23","907","1"
"2304400","5","5611205","2017-08-01","23","24","0"
"2611606","5","5611201","2019-02-01","26","3732","0"
"2611606","5","5611201","2019-02-01","26","876","1"
"1100205","5","5611204","2019-12-01","11","179","1"
"3205309","5","5611204","2019-12-01","32","230","1"
"4314902","5","5611201","2019-12-01","43","603","1"
"5002704","5","5611201","2019-12-01","50","1675","0"
"4106902","5","5611203","2019-07-01","41","1430","1"
"4205407","5","5611203","2019-07-01","42","751","1"
"1400100","5","5611205","2019-08-01","14","21","1"
"2111300","5","5611203","2018-06-01","21","610","1"
"2606200","5","5611203","2018-06-01","26","66","0"
"1302603","5","5611203","2018-08-01","13","1081","1"
"2304400","5","5611201","2018-08-01","23","4922","0"
"2211001","5","5611201","2017-02-01","22","241","1"
"2611606","5","5611201","2017-02-01","26","412","1"
"5002704","5","5611203","2017-02-01","50","625","1"
"2111300","5","5611201","2020-08-01","21","1909","0"
"2211001","5","5611204","2020-08-01","22","317","1"
"2408102","5","5611204","2020-08-01","24","260","1"
"2507507","5","5611205","2020-08-01","25","42","0"
"5002704","5","5611203","2021-07-01","50","2058","1"
"2211001","5","5611204","2021-08-01","22","353","1"
"2704302","5","5611201","2021-08-01","27","1595","1"
"3205309","5","5611203","2021-08-01","32","762","1"
"3205309","5","5611201","2021-11-01","32","1218","0"
"4106902","5","5611201","2021-11-01","41","6039","0"
"4314902","5","5611203","2021-11-01","43","4434","0"
"2111300","5","5611201","2021-12-01","21","1495","1"
"5002704","5","5611201","2019-09-01","50","698","1"
"5107206","5","5611201","2019-09-01","51","2","1"
"1302603","5","5611203","2019-10-01","13","2362","0"
"3106200","5","5611204","2018-12-01","31","2410","0"
"4314902","5","5611203","2018-12-01","43","842","1"
"5107206","5","5611204","2018-12-01","51","1","1"
"1600303","5","5611204","2019-01-01","16","168","0"
"2211001","5","5611203","2019-01-01","22","1066","0"
"2606200","5","5611201","2019-01-01","26","108","0"
"2606200","5","5611205","2019-01-01","26","1","1"
"2704302","5","5611204","2021-02-01","27","301","1"
"1302603","5","5611201","2021-03-01","13","2602","0"
"1600303","5","5611204","2021-03-01","16","149","0"
"3550308","5","5611205","2021-08-01","35","1687","1"
"4314902","5","5611201","2021-08-01","43","5139","0"
"1100205","5","5611203","2021-09-01","11","890","0"
"2211001","5","5611201","2021-09-01","22","1227","1"
"2611606","5","5611205","2021-09-01","26","31","0"
"2704302","5","5611203","2021-09-01","27","2203","1"
"5107206","5","5611201","2019-12-01","51","4","0"
"5300108","5","5611201","2019-12-01","53","8147","0"
"2211001","5","5611203","2020-01-01","22","588","1"
"2704302","5","5611201","2020-01-01","27","1591","0"
"3106200","5","5611203","2020-01-01","31","3017","1"
"3550308","5","5611203","2020-01-01","35","39013","0"
"4314902","5","5611201","2020-01-01","43","5052","0"
"4314902","5","5611201","2022-05-01","43","1679","1"
"2111300","5","5611203","2022-06-01","21","1305","0"
"3106200","5","5611204","2022-06-01","31","2020","0"
"3106200","5","5611205","2022-06-01","31","291","0"
"2611606","5","5611205","2018-03-01","26","15","1"
"5002704","5","5611205","2018-03-01","50","11","1"
"1400100","5","5611205","2018-04-01","14","11","0"
"1721000","5","5611205","2018-04-01","17","5","0"
"2507507","5","5611204","2018-04-01","25","241","0"
"1400100","5","5611203","2022-08-01","14","674","1"
"2507507","5","5611201","2022-08-01","25","1447","0"
"2507507","5","5611201","2022-08-01","25","1604","1"
"5002704","5","5611205","2021-04-01","50","54","0"
"2304400","5","5611201","2021-05-01","23","3753","1"
"2408102","5","5611203","2021-05-01","24","1407","1"
"4314902","5","5611201","2021-12-01","43","5134","0"
"5300108","5","5611201","2021-12-01","53","8729","0"
"5300108","5","5611203","2021-12-01","53","5647","1"
"1302603","5","5611201","2022-01-01","13","4216","1"
"2611606","5","5611203","2018-11-01","26","1621","1"
"3106200","5","5611205","2017-06-01","31","73","0"
"4314902","5","5611201","2017-06-01","43","224","1"
"1400100","5","5611203","2017-07-01","14","992","0"
"2800308","5","5611205","2017-05-01","28","4","1"
"3550308","5","5611205","2017-05-01","35","130","1"
"1400100","5","5611205","2017-06-01","14","8","0"
"2111300","5","5611204","2017-06-01","21","390","0"
"5103403","5","5611203","2021-09-01","51","1638","1"
"1100205","5","5611204","2021-10-01","11","161","0"
"2211001","5","5611204","2021-10-01","22","293","0"
"2704302","5","5611203","2021-10-01","27","1671","0"
"2507507","5","5611204","2017-08-01","25","280","0"
"4314902","5","5611203","2017-08-01","43","588","1"
"5002704","5","5611205","2017-08-01","50","15","0"
"1302603","5","5611203","2017-09-01","13","845","1"
"3550308","5","5611203","2019-10-01","35","39083","0"
"3304557","5","5611203","2017-04-01","33","4697","1"
"5002704","5","5611201","2017-04-01","50","1569","0"
"1600303","5","5611201","2017-05-01","16","168","1"
"2211001","5","5611203","2020-12-01","22","817","1"
"2507507","5","5611203","2020-12-01","25","1273","1"
"2700805","5","5611201","2020-12-01","27","1","0"
"1600303","5","5611204","2021-11-01","16","141","0"
"2111300","5","5611204","2021-11-01","21","275","0"
"2304400","5","5611203","2021-11-01","23","4990","1"
"2507507","5","5611201","2021-11-01","25","1398","1"
"2606200","5","5611204","2021-11-01","26","21","0"
"2111300","5","5611204","2021-03-01","21","287","0"
"2304400","5","5611205","2021-03-01","23","287","1"
"2408102","5","5611204","2021-03-01","24","275","1"
"2507507","5","5611203","2021-03-01","25","1384","1"
"3205309","5","5611204","2021-03-01","32","261","1"
"3304557","5","5611203","2021-03-01","33","13030","0"
"4314902","5","5611201","2022-03-01","43","5103","0"
"2304400","5","5611201","2022-04-01","23","5321","0"
"2408102","5","5611203","2022-04-01","24","1247","0"
"3304557","5","5611204","2022-04-01","33","4670","1"
"5103403","5","5611204","2020-01-01","51","256","0"
"5300108","5","5611205","2020-01-01","53","240","1"
"2408102","5","5611203","2020-02-01","24","1330","0"
"2408102","5","5611205","2020-02-01","24","25","0"
"2704302","5","5611203","2020-02-01","27","1369","1"
"2704302","5","5611204","2020-02-01","27","275","1"
"2800308","5","5611204","2020-02-01","28","139","1"
"3106200","5","5611201","2020-02-01","31","2683","1"
"3106200","5","5611205","2020-02-01","31","213","0"
"3205309","5","5611203","2020-02-01","32","518","1"
"4106902","5","5611205","2020-02-01","41","65","1"
"3550308","5","5611205","2020-10-01","35","1046","1"
"2211001","5","5611203","2020-11-01","22","807","1"
"2408102","5","5611205","2020-11-01","24","42","0"
"2704302","5","5611201","2020-11-01","27","1673","0"
"2927408","5","5611204","2020-11-01","29","1161","0"
"1302603","5","5611204","2018-12-01","13","292","0"
"1400100","5","5611203","2018-12-01","14","296","1"
"2408102","5","5611204","2018-12-01","24","314","0"
"2507507","5","5611203","2018-12-01","25","731","1"
"2304400","5","5611205","2020-05-01","23","183","1"
"4106902","5","5611205","2020-05-01","41","106","0"
"1600303","5","5611205","2021-04-01","16","34","0"
"3304557","5","5611201","2021-04-01","33","11483","0"
"1302603","5","5611204","2019-11-01","13","294","0"
"2211001","5","5611205","2019-11-01","22","43","1"
"2611606","5","5611201","2019-11-01","26","3803","0"
"3106200","5","5611205","2019-08-01","31","178","1"
"5002704","5","5611204","2019-08-01","50","281","0"
"5103403","5","5611205","2019-08-01","51","21","0"
"1721000","5","5611203","2019-09-01","17","549","0"
"3550308","5","5611204","2018-04-01","35","3071","1"
"4106902","5","5611204","2018-04-01","41","556","1"
"1721000","5","5611201","2018-05-01","17","644","0"
"2111300","5","5611201","2018-05-01","21","421","1"
"2111300","5","5611205","2018-05-01","21","40","1"
"2507507","5","5611201","2018-05-01","25","1252","0"
"3106200","5","5611201","2020-12-01","31","6851","0"
"3205309","5","5611204","2020-12-01","32","251","1"
"4106902","5","5611204","2020-12-01","41","1688","0"
"4106902","5","5611204","2020-12-01","41","793","1"
"5002704","5","5611205","2020-12-01","50","54","0"
"5300108","5","5611205","2020-12-01","53","249","0"
"1302603","5","5611203","2021-01-01","13","2587","1"
"1400100","5","5611203","2021-01-01","14","515","1"
"1400100","5","5611205","2021-06-01","14","41","0"
"2408102","5","5611204","2021-06-01","24","281","1"
"2606200","5","5611205","2021-06-01","26","11","1"
"2611606","5","5611201","2021-06-01","26","2417","1"
"2611606","5","5611201","2019-04-01","26","936","1"
"2800308","5","5611203","2019-04-01","28","529","1"
"2800308","5","5611205","2019-04-01","28","9","0"
"2408102","5","5611203","2019-05-01","24","1311","0"
"3205309","5","5611204","2019-02-01","32","321","0"
"5103403","5","5611205","2019-02-01","51","14","1"
"1600303","5","5611201","2019-03-01","16","283","1"
"2408102","5","5611201","2019-03-01","24","2014","0"
"2606200","5","5611204","2019-03-01","26","25","0"
"2211001","5","5611201","2020-04-01","22","655","1"
"2507507","5","5611201","2020-04-01","25","731","1"
"2507507","5","5611204","2020-04-01","25","242","0"
"3106200","5","5611203","2020-04-01","31","3286","1"
"2507507","5","5611201","2022-02-01","25","1463","1"
"2507507","5","5611203","2022-02-01","25","1671","1"
"2927408","5","5611205","2022-02-01","29","168","0"
"2927408","5","5611205","2019-06-01","29","91","1"
"5107206","5","5611201","2019-06-01","51","4","0"
"5107206","5","5611204","2019-06-01","51","1","0"
"2211001","5","5611203","2019-07-01","22","519","1"
"5002704","5","5611204","2022-01-01","50","540","1"
"2927408","5","5611205","2017-10-01","29","59","1"
"4314902","5","5611201","2017-10-01","43","263","1"
"5103403","5","5611205","2017-10-01","51","10","0"
"1400100","5","5611204","2017-11-01","14","344","0"
"1600303","5","5611201","2017-11-01","16","196","1"
"1721000","5","5611201","2017-11-01","17","182","1"
"5107206","5","5611205","2021-06-01","51","2","1"
"1600303","5","5611204","2021-07-01","16","144","0"
"2507507","5","5611204","2021-07-01","25","230","0"
"3106200","5","5611204","2021-07-01","31","2121","0"
"4314902","5","5611201","2022-04-01","43","5105","0"
"1400100","5","5611204","2022-05-01","14","228","0"
"2507507","5","5611203","2022-05-01","25","1210","0"
"2611606","5","5611205","2022-05-01","26","41","0"
"4106902","5","5611204","2018-08-01","41","1749","0"
"2408102","5","5611204","2018-09-01","24","316","0"
"2800308","5","5611205","2018-09-01","28","5","0"
"1400100","5","5611201","2018-10-01","14","664","0"
"1721000","5","5611203","2018-10-01","17","344","1"
"2606200","5","5611204","2018-10-01","26","48","1"
"2927408","5","5611203","2018-06-01","29","1571","1"
"4106902","5","5611205","2018-06-01","41","51","0"
"1302603","5","5611201","2018-07-01","13","2104","0"
"2704302","5","5611203","2017-11-01","27","818","1"
"2704302","5","5611204","2017-11-01","27","216","1"
"3205309","5","5611203","2017-11-01","32","1302","0"
"3550308","5","5611201","2017-11-01","35","22214","0"
"5002704","5","5611205","2017-11-01","50","10","1"
"2304400","5","5611201","2017-12-01","23","5134","0"
"2507507","5","5611203","2017-12-01","25","1333","0"
"3550308","5","5611203","2018-02-01","35","6155","1"
"5107206","5","5611203","2018-02-01","51","2","0"
"1600303","5","5611203","2018-03-01","16","213","1"
"2408102","5","5611201","2018-03-01","24","1937","0"
"2408102","5","5611203","2018-03-01","24","1326","0"
"2704302","5","5611205","2018-01-01","27","6","0"
"2111300","5","5611201","2018-02-01","21","1758","0"
"2111300","5","5611205","2018-02-01","21","37","1"
"1721000","5","5611204","2020-03-01","17","247","1"
"2408102","5","5611205","2020-03-01","24","41","1"
"2704302","5","5611205","2020-03-01","27","41","1"
"3205309","5","5611205","2020-03-01","32","27","1"
"2611606","5","5611205","2017-09-01","26","8","0"
"3205309","5","5611203","2017-09-01","32","1295","0"
"3304557","5","5611203","2017-09-01","33","13927","0"
"5002704","5","5611201","2017-09-01","50","328","1"
"5107206","5","5611203","2017-09-01","51","2","1"
"5103403","5","5611204","2021-01-01","51","311","1"
"1600303","5","5611203","2021-02-01","16","524","0"
"2408102","5","5611204","2020-09-01","24","260","1"
"3205309","5","5611203","2020-09-01","32","1197","0"
"2800308","5","5611205","2020-07-01","28","26","1"
"3304557","5","5611203","2020-07-01","33","12832","0"
"3106200","5","5611203","2019-05-01","31","6724","0"
"3304557","5","5611203","2019-05-01","33","8063","1"
"4314902","5","5611201","2019-05-01","43","483","1"
"2111300","5","5611204","2019-06-01","21","378","1"
"2304400","5","5611203","2017-03-01","23","4809","0"
"4106902","5","5611204","2022-03-01","41","875","1"
"2704302","5","5611205","2019-03-01","27","10","1"
"4314902","5","5611203","2019-03-01","43","883","1"
"3550308","5","5611205","2022-10-01","35","2369","1"
"2408102","5","5611205","2022-10-01","24","122","1"
"2800308","5","5611205","2022-10-01","28","20","0"
"3106200","5","5611203","2022-10-01","31","5191","1"
"1400100","5","5611201","2020-10-01","14","693","0"
"1721000","5","5611201","2020-10-01","17","354","1"
"1600303","5","5611201","2017-01-01","16","791","0"
